tweet_id,Text,created_at,cleaned_text,tokens,processed_tokens,final_text,is_relevant,similarity_score,is_semantically_relevant,is_relevant_keyword,is_relevant_similarity
1659894737434980352,@TheFreds The Queen of Cholera.,2023-05-20 12:11:59+00:00,the queen of cholera,"['the', 'queen', 'of', 'cholera']","['queen', 'cholera']",queen cholera,True,0.5998664,True,False,True
1659894306197368834,"@Theblackfemini3 The completeð¤¡has clearly never heard of 
Cholera. Lots of people living in close proximity, taking að©&amp; burying it. Next comes the monsoon season &amp; washesð©everywhere, inc into the water sources that the same people collect potable water from. If Cholera ensues, people could die",2023-05-20 12:10:16+00:00,the completehas clearly never heard of cholera lots of people living in close proximity taking aamp burying it next comes the monsoon season amp washeseverywhere inc into the water sources that the same people collect potable water from if cholera ensues people could die,"['the', 'completehas', 'clearly', 'never', 'heard', 'of', 'cholera', 'lots', 'of', 'people', 'living', 'in', 'close', 'proximity', 'taking', 'aamp', 'burying', 'it', 'next', 'comes', 'the', 'monsoon', 'season', 'amp', 'washeseverywhere', 'inc', 'into', 'the', 'water', 'sources', 'that', 'the', 'same', 'people', 'collect', 'potable', 'water', 'from', 'if', 'cholera', 'ensues', 'people', 'could', 'die']","['completehas', 'clearly', 'never', 'heard', 'cholera', 'lot', 'people', 'living', 'close', 'proximity', 'taking', 'aamp', 'burying', 'next', 'come', 'monsoon', 'season', 'amp', 'washeseverywhere', 'inc', 'water', 'source', 'people', 'collect', 'potable', 'water', 'cholera', 'ensues', 'people', 'could', 'die']",completehas clearly never heard cholera lot people living close proximity taking aamp burying next come monsoon season amp washeseverywhere inc water source people collect potable water cholera ensues people could die,True,0.5230719,True,False,True
1659893520784654336,"An unprecedented global surge in cholera puts one-eighth of the world's population at risk, the United Nations warned. #Global  #Health https://t.co/xdiXQGofyL",2023-05-20 12:07:09+00:00,an unprecedented global surge in cholera puts oneeighth of the world's population at risk the united nations warned,"['an', 'unprecedented', 'global', 'surge', 'in', 'cholera', 'puts', 'oneeighth', 'of', 'the', 'world', ""'s"", 'population', 'at', 'risk', 'the', 'united', 'nations', 'warned']","['unprecedented', 'global', 'surge', 'cholera', 'put', 'oneeighth', 'world', ""'s"", 'population', 'risk', 'united', 'nation', 'warned']",unprecedented global surge cholera put oneeighth world 's population risk united nation warned,True,0.60481024,True,False,True
1659885468408750082,Officials in Cameroon have shut down markets in an attempt to stop a wave of cholera infections spreading through all 10 regions of the central African state https://t.co/Dek8HXLzfD,2023-05-20 11:35:09+00:00,officials in cameroon have shut down markets in an attempt to stop a wave of cholera infections spreading through all regions of the central african state,"['officials', 'in', 'cameroon', 'have', 'shut', 'down', 'markets', 'in', 'an', 'attempt', 'to', 'stop', 'a', 'wave', 'of', 'cholera', 'infections', 'spreading', 'through', 'all', 'regions', 'of', 'the', 'central', 'african', 'state']","['official', 'cameroon', 'shut', 'market', 'attempt', 'stop', 'wave', 'cholera', 'infection', 'spreading', 'region', 'central', 'african', 'state']",official cameroon shut market attempt stop wave cholera infection spreading region central african state,True,0.50824577,True,False,True
1659884198449037320,@GazetteNGR Majority of the people with the cholera are coming from Peoples Gazette,2023-05-20 11:30:06+00:00,majority of the people with the cholera are coming from peoples gazette,"['majority', 'of', 'the', 'people', 'with', 'the', 'cholera', 'are', 'coming', 'from', 'peoples', 'gazette']","['majority', 'people', 'cholera', 'coming', 'people', 'gazette']",majority people cholera coming people gazette,True,0.5197116,True,False,True
1659883887772794880,@brigantiae @Feargal_Sharkey Most Africans do this. Most Brits used to do this. Then came cholera.,2023-05-20 11:28:52+00:00,most africans do this most brits used to do this then came cholera,"['most', 'africans', 'do', 'this', 'most', 'brits', 'used', 'to', 'do', 'this', 'then', 'came', 'cholera']","['african', 'brit', 'used', 'came', 'cholera']",african brit used came cholera,True,0.5443767,True,False,True
1659881305138405376,Authorities launch intensive health safety campaign after seven cases of cholera are reported in Kirinyaga https://t.co/X7bxp9agQC,2023-05-20 11:18:36+00:00,authorities launch intensive health safety campaign after seven cases of cholera are reported in kirinyaga,"['authorities', 'launch', 'intensive', 'health', 'safety', 'campaign', 'after', 'seven', 'cases', 'of', 'cholera', 'are', 'reported', 'in', 'kirinyaga']","['authority', 'launch', 'intensive', 'health', 'safety', 'campaign', 'seven', 'case', 'cholera', 'reported', 'kirinyaga']",authority launch intensive health safety campaign seven case cholera reported kirinyaga,True,0.5208371,True,False,True
1659879770371530752,"With the source of the 1854 Broad Street cholera outbreak, John Snowâs water pump; a turning point for the field of public health and its relationship with sanitation. https://t.co/JbXWq81G9i",2023-05-20 11:12:30+00:00,with the source of the broad street cholera outbreak john snows water pump a turning point for the field of public health and its relationship with sanitation,"['with', 'the', 'source', 'of', 'the', 'broad', 'street', 'cholera', 'outbreak', 'john', 'snows', 'water', 'pump', 'a', 'turning', 'point', 'for', 'the', 'field', 'of', 'public', 'health', 'and', 'its', 'relationship', 'with', 'sanitation']","['source', 'broad', 'street', 'cholera', 'outbreak', 'john', 'snow', 'water', 'pump', 'turning', 'point', 'field', 'public', 'health', 'relationship', 'sanitation']",source broad street cholera outbreak john snow water pump turning point field public health relationship sanitation,True,0.5314573,True,False,True
1659879138113773569,UN lists Kenya among countries threatened by cholera https://t.co/EY1jQqdSYX https://t.co/NUfCjcovAD,2023-05-20 11:10:00+00:00,un lists kenya among countries threatened by cholera,"['un', 'lists', 'kenya', 'among', 'countries', 'threatened', 'by', 'cholera']","['un', 'list', 'kenya', 'among', 'country', 'threatened', 'cholera']",un list kenya among country threatened cholera,True,0.54291874,True,False,True
1659876971374075904,"1bn people from Nigeria, 42 countries face cholera risk â UN agencies
https://t.co/Tv0y799QMJ",2023-05-20 11:01:23+00:00,bn people from nigeria countries face cholera risk un agencies,"['bn', 'people', 'from', 'nigeria', 'countries', 'face', 'cholera', 'risk', 'un', 'agencies']","['bn', 'people', 'nigeria', 'country', 'face', 'cholera', 'risk', 'un', 'agency']",bn people nigeria country face cholera risk un agency,True,0.5150005,True,False,True
